feature,importance
thalach,0.13931607895983233
oldpeak,0.12097502989823695
chol,0.12061726392615232
age,0.11573639341210434
ca,0.10065235800691559
trestbps,0.0981862044906444
thal,0.08257495886121764
cp,0.07667165816279953
exang,0.04520776353536068
slope,0.04218507134801386
sex,0.029460349769996654
restecg,0.02841686962872572
