model,accuracy,precision,recall,f1,auc
LogisticRegression,0.8688524590163934,0.8766252119841718,0.8688524590163934,0.8689934778776661,0.9448051948051948
DecisionTree,0.7049180327868853,0.7177756348441016,0.7049180327868853,0.7044420941300898,0.7110389610389609
RandomForest,0.8852459016393442,0.8972216308281883,0.8852459016393442,0.8852459016393442,0.9534632034632035
SVM,0.8360655737704918,0.8436263425664218,0.8360655737704918,0.8362418473470827,0.9361471861471862
